imgName;saturationHsv;hueHsv;valueHsv;saturationHsi;hueHsi;intensityHsi;lLab;aLab;bLab;Y
D1_017.JPG;141.22885413341845;165.3253271624641;131.3000319182892;0.14299239218235016;4.24777364730835;0.5723584294319153;165.95890416666666;136.19594166666667;143.095525;0
D1_025.JPG;140.07259073842303;165.70471422611598;128.5543596161869;0.14610545337200165;4.255142688751221;0.567753791809082;166.9259125;136.10543333333334;143.10437916666666;0
D1_029.JPG;100.80604316546763;118.97726618705036;106.99395683453237;0.15229769051074982;4.9088311195373535;0.42715984582901;164.0594;138.54416666666665;144.79907916666667;0
D1_031.JPG;134.108314479638;159.9203902714932;126.84205316742081;0.15177281200885773;4.452254295349121;0.5501578450202942;163.73215;137.9129625;144.48338333333334;0
D1_035.JPG;126.78246527777777;155.9595486111111;118.77511574074074;0.19586116075515747;0.0;0.5248590111732483;165.18088333333333;138.71610833333332;144.53640416666667;0
D1_040.JPG;117.28504373799872;138.41156390014936;112.47621079581822;0.1613660454750061;4.467480659484863;0.4812717139720917;164.65240416666666;135.8248625;143.24715833333335;3
D1_042.JPG;95.28490797546013;114.38748466257668;102.15337423312883;0.1987132579088211;4.901225566864014;0.40761539340019226;168.25402083333333;136.67074583333334;143.6546;1
D1_044.JPG;132.86216155739538;156.11837100022376;125.66278809577086;0.14617407321929932;4.382443428039551;0.54201740026474;166.83124166666667;135.7508125;142.817475;0
D1_046.JPG;106.87527472527472;125.90714285714286;109.66483516483517;0.1533348262310028;4.760648727416992;0.4476434588432312;167.2706;135.7339375;142.93160833333334;3
D1_048.JPG;131.7311330049261;155.14039408866995;125.77694581280788;0.1513567417860031;4.37618350982666;0.5394098162651062;165.77649166666666;135.80187083333334;142.84020833333332;1
D1_052.JPG;130.32120075046905;152.03764853033147;123.69631019387117;0.1367495059967041;4.457198619842529;0.5307910442352295;167.0806875;135.68705;142.8253625;0
D1_055.JPG;144.14069006543724;165.9387269482451;135.30101130279596;0.12439198791980743;4.374990940093994;0.5821966528892517;167.57864583333333;135.51718333333332;142.81645;2
D1_078.JPG;123.83629191321499;147.55005917159764;117.44355029585799;0.17592784762382507;4.354255199432373;0.5082743763923645;163.43920416666666;136.09779166666667;142.51725416666667;2
D1_08.JPG;118.23699134199134;139.33847041847042;127.55599567099567;0.21645794808864594;4.4849042892456055;0.5034398436546326;155.96737916666666;138.87161666666665;136.21716666666666;3
D1_084.JPG;143.63424000509903;171.64529853243462;130.18746912695;0.20274953544139862;0.0;0.5823098421096802;168.860225;137.43045;144.69790416666666;2
